Bank,Company,Fossil Fuel Financing
Goldman Sachs,Pioneer Natural Resources," 1,239,319,444 "
Goldman Sachs,Diamondback Energy," 2,246,937,709 "
CrŽdit Agricole,Gazprom," 643,367,500 "
CrŽdit Agricole,Saudi Aramco," 5,689,537,145 "
CrŽdit Agricole,Petro_leo Brasileiro (Petrobras)," 2,729,089,829 "
CrŽdit Agricole,TotalEnergies," 7,117,456,016 "
CrŽdit Agricole,Shell," 400,000,000 "
CrŽdit Agricole,BP," 3,736,557,626 "
CrŽdit Agricole,Equinor," 315,789,474 "
CrŽdit Agricole,China National Offshore Oil Co.," 152,920,000 "
CrŽdit Agricole,Petr—leos Mexicanos (Pemex)," 2,705,778,794 "
SociŽtŽ GŽnŽrale,Saudi Aramco," 3,710,965,717 "
SociŽtŽ GŽnŽrale,ExxonMobil," 5,913,897,444 "
SociŽtŽ GŽnŽrale,TotalEnergies," 2,491,931,971 "
SociŽtŽ GŽnŽrale,Chevron," 1,189,610,373 "
SociŽtŽ GŽnŽrale,Shell," 400,000,000 "
SociŽtŽ GŽnŽrale,BP," 3,495,857,770 "
SociŽtŽ GŽnŽrale,Abu Dhabi National Oil Co.," 1,300,705,598 "
SociŽtŽ GŽnŽrale,Equinor," 315,789,474 "
SociŽtŽ GŽnŽrale,China National Offshore Oil Co.," 281,363,636 "
SociŽtŽ GŽnŽrale,Petr—leos Mexicanos (Pemex)," 1,243,511,290 "
